Age,last_mod,tot_bath,Overall Qual,Overall Cond,Lot Area,Mas Vnr Area,Garage Area,Kitchen Qual,total_SF,Screen Porch,TotRms AbvGrd,Exter Qual,SalePrice,age*mod,overall**,Exterior 1st_AsphShn,Exterior 1st_BrkComm,Exterior 1st_BrkFace,Exterior 1st_CBlock,Exterior 1st_CemntBd,Exterior 1st_HdBoard,Exterior 1st_ImStucc,Exterior 1st_MetalSd,Exterior 1st_Plywood,Exterior 1st_Stone,Exterior 1st_Stucco,Exterior 1st_VinylSd,Exterior 1st_Wd Sdng,Exterior 1st_WdShing,Bldg Type_2fmCon,Bldg Type_Duplex,Bldg Type_Twnhs,Bldg Type_TwnhsE,Land Contour_HLS,Land Contour_Low,Land Contour_Lvl
129,2,1.0,5,7,26400,0.0,576.0,3,2016.0,0,7,4,131000,258,35,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,8,3.5,8,5,2645,456.0,480.0,4,2567.0,0,7,4,200000,72,40,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
1,1,2.0,7,5,9627,0.0,610.0,4,2712.0,0,6,4,193000,1,35,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
6,5,2.0,5,5,10114,0.0,624.0,4,2860.0,0,7,3,173500,30,25,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
92,58,1.0,5,5,4571,0.0,513.0,3,1968.0,0,7,3,98000,5336,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
46,46,2.0,5,6,8816,0.0,480.0,3,2242.0,0,5,3,139000,2116,30,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
30,30,1.5,6,5,8197,148.0,528.0,3,1945.0,0,7,3,143500,900,30,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,1,2.5,7,5,8640,0.0,614.0,4,2303.0,0,7,3,215200,1,35,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
39,39,1.0,5,5,8724,0.0,450.0,3,1788.0,0,5,3,129000,1521,25,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
9,9,3.0,8,5,5664,0.0,499.0,5,3160.0,0,5,4,278000,81,40,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,0,2.5,8,5,12867,0.0,575.0,5,3462.0,0,8,4,344133,0,40,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18,3,3.0,6,7,7980,0.0,420.0,3,2355.0,0,6,3,185000,54,42,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
51,51,2.0,5,5,34650,0.0,572.0,3,2112.0,0,5,3,145000,2601,25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
48,48,3.0,6,6,10573,3.0,530.0,3,2906.0,288,6,3,187500,2304,36,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
45,1,2.0,5,8,8450,0.0,336.0,3,1788.0,0,5,3,138500,45,40,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
71,13,2.0,5,6,11700,0.0,240.0,4,2880.0,0,7,3,198000,923,30,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
112,1,2.0,5,6,8250,0.0,0.0,3,2948.0,0,9,3,119600,112,30,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
58,1,1.0,5,7,8064,0.0,576.0,3,1596.0,0,6,3,122900,58,35,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
28,28,3.5,8,5,9600,0.0,542.0,4,5048.0,0,9,4,278000,784,40,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
77,56,1.0,8,7,11435,0.0,400.0,4,2309.0,0,7,3,230000,4312,56,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
11,10,2.5,8,5,9549,0.0,481.0,5,2988.0,216,6,4,270000,110,40,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
55,55,1.0,6,6,10950,0.0,410.0,3,1896.0,0,5,3,125000,3025,36,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2,1,3.0,8,5,10637,336.0,826.0,4,3423.0,0,7,4,297000,2,40,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
51,51,1.0,6,6,9000,82.0,384.0,3,1302.0,0,5,3,113500,2601,36,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
29,29,2.0,5,6,2665,0.0,336.0,3,2232.0,0,6,3,127000,841,30,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
33,33,2.0,6,6,11751,480.0,546.0,3,3688.0,0,7,3,190000,1089,36,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
34,34,1.5,7,6,9600,320.0,528.0,3,2484.0,0,6,3,175500,1156,42,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13,13,2.0,5,7,8428,0.0,384.0,3,1980.0,0,5,3,146000,169,35,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
43,43,2.5,5,6,9937,0.0,276.0,3,2512.0,0,6,4,147500,1849,30,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,3.5,10,5,13891,0.0,850.0,5,4152.0,0,7,5,465000,0,50,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
31,31,2.0,5,6,9101,104.0,602.0,4,2207.0,0,4,3,165500,961,30,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
54,54,2.0,5,5,12150,335.0,352.0,3,2845.0,0,7,3,131500,2916,25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
43,43,2.0,5,5,11200,0.0,384.0,3,2080.0,0,5,3,129500,1849,25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
73,58,1.5,8,6,9670,40.0,786.0,3,2481.0,0,9,3,257076,4234,48,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
68,49,2.0,5,5,10998,0.0,660.0,3,2588.0,0,6,3,117000,3332,25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
77,8,1.5,7,6,7200,0.0,270.0,3,2278.0,0,6,3,149000,616,42,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
56,56,2.0,5,5,9920,110.0,280.0,3,2119.0,0,6,3,128000,3136,25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,4,2.5,7,5,2448,106.0,474.0,4,2390.0,0,6,4,155000,20,35,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
6,6,2.5,6,5,2998,513.0,440.0,4,2280.0,0,4,4,166000,36,30,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
81,59,3.0,4,3,7804,0.0,576.0,4,3103.0,0,7,3,135000,4779,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
28,28,4.5,7,5,16692,184.0,564.0,4,4176.0,440,12,3,250000,784,35,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
40,40,1.5,4,7,1476,0.0,0.0,3,1638.0,0,5,3,76000,1600,28,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
55,55,1.5,6,6,10170,522.0,400.0,4,1791.0,0,5,3,155000,3025,36,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
41,41,1.5,6,7,9364,143.0,299.0,3,2015.0,0,7,3,158000,1681,42,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,5,3.5,7,5,2544,0.0,480.0,4,1800.0,0,4,4,149500,30,35,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
52,31,1.0,5,6,9888,0.0,240.0,3,1872.0,0,5,3,121000,1612,30,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
54,54,1.5,6,7,7942,0.0,293.0,3,2080.0,0,6,3,136000,2916,42,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
12,12,2.5,6,5,15038,0.0,386.0,3,2552.0,0,7,3,173000,144,30,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11,3,2.5,8,7,11764,348.0,671.0,4,3422.0,0,9,4,290000,33,56,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0,0,2.5,8,5,9000,0.0,550.0,5,3794.0,0,11,4,303477,0,40,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
33,9,2.5,7,7,20062,0.0,690.0,3,2903.0,0,4,4,270000,297,49,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
88,58,1.0,5,5,7308,0.0,225.0,5,2676.0,0,6,2,122250,5104,25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
54,54,1.5,5,5,8750,0.0,350.0,4,2764.0,0,6,3,153000,2916,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,1.0,5,5,8402,0.0,0.0,3,2240.0,0,6,3,147000,0,25,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
77,12,2.0,7,8,4000,0.0,216.0,3,1629.0,0,5,3,148500,924,56,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2,2,2.0,7,5,3363,117.0,380.0,4,2684.0,0,7,4,130000,4,35,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
1,1,2.5,9,5,13615,510.0,843.0,5,3604.0,0,7,5,372000,1,45,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1,2.0,7,5,3013,145.0,440.0,4,2868.0,0,6,4,213490,1,35,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
1,0,2.0,7,5,17485,96.0,572.0,4,3016.0,0,5,4,308030,0,35,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
12,11,4.0,7,5,23730,668.0,786.0,4,3872.0,0,7,4,300000,132,35,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
47,47,1.5,6,6,8910,0.0,539.0,3,1849.0,0,6,3,159500,2209,36,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,2,2.0,7,5,2522,50.0,380.0,4,2679.0,0,7,4,137500,4,35,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
1,1,2.0,7,5,8688,228.0,834.0,4,3232.0,0,7,4,232000,1,35,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
78,58,1.0,6,6,6291,0.0,440.0,3,1536.0,0,4,4,93850,4524,36,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
82,56,1.0,5,5,17529,65.0,322.0,2,1744.0,0,5,3,105000,4592,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
81,58,1.0,4,6,6324,0.0,240.0,2,1040.0,0,4,3,68500,4698,24,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
50,50,2.0,5,5,11600,361.0,480.0,3,3379.0,0,12,3,154300,2500,25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
82,4,2.0,5,7,7288,0.0,0.0,3,2537.0,0,6,4,129850,328,35,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
97,57,1.0,5,7,4571,0.0,480.0,3,1848.0,0,6,3,114000,5529,35,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,3.0,9,5,17423,748.0,1166.0,5,4450.0,0,9,5,501837,0,45,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
93,58,1.5,5,8,12665,0.0,720.0,3,2292.0,0,7,3,153900,5394,40,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
38,3,1.0,4,7,9000,0.0,576.0,3,1728.0,0,5,3,130000,114,28,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
11,11,3.0,6,5,4500,197.0,392.0,3,2378.0,0,4,3,160500,121,30,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
0,0,3.0,9,5,6373,572.0,575.0,4,3332.0,0,6,5,310090,0,45,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
6,6,3.0,7,5,10083,0.0,555.0,4,2376.0,0,5,4,184900,36,35,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
51,7,1.0,5,7,13300,0.0,252.0,3,1856.0,0,4,3,132000,357,35,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
40,40,2.5,5,5,9600,128.0,502.0,3,2624.0,0,6,3,163000,1600,25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,6,2.5,7,5,3215,120.0,480.0,4,1800.0,0,4,4,155000,36,35,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
39,39,2.5,6,6,11104,0.0,516.0,3,2854.0,216,7,3,183000,1521,36,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
11,5,3.5,7,5,15295,254.0,608.0,4,2852.0,0,7,4,211000,55,35,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
15,15,3.5,7,5,9109,0.0,495.0,4,2294.0,0,6,4,184000,225,35,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
30,30,2.0,5,5,7018,0.0,400.0,3,1535.0,0,8,3,118858,900,25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
46,46,2.0,5,7,14112,86.0,484.0,3,2304.0,0,6,3,180500,2116,35,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1,0,3.0,8,5,3523,30.0,484.0,4,2292.0,0,5,4,166000,0,40,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
49,49,1.5,6,5,15312,54.0,480.0,3,2276.0,140,6,3,148000,2401,30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
51,51,1.0,5,5,7450,0.0,396.0,4,1968.0,0,6,3,124000,2601,25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2,2,3.0,9,5,7313,246.0,556.0,5,3122.0,0,6,5,277500,4,45,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
11,11,2.5,8,5,10019,397.0,725.0,4,4068.0,0,9,4,350000,121,40,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
4,4,3.0,9,5,15401,296.0,670.0,5,3768.0,0,7,5,387000,16,45,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
87,5,2.0,4,7,9098,0.0,0.0,3,1133.0,0,5,3,86000,435,28,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
32,1,4.0,8,9,16280,0.0,550.0,5,3097.0,0,6,5,290000,32,72,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
109,59,1.0,3,3,9392,0.0,0.0,3,1042.0,0,5,3,44000,6431,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,7,3.5,6,5,12209,0.0,560.0,4,2765.0,0,7,3,215000,56,30,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
34,34,3.0,5,6,13110,144.0,501.0,3,2346.0,0,6,3,146500,1156,30,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
6,6,3.5,7,5,2651,0.0,490.0,4,2055.0,0,6,4,165000,36,35,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
91,57,2.0,6,7,8520,0.0,216.0,4,3240.0,0,10,3,136000,5187,42,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
49,49,2.5,6,6,39384,902.0,550.0,5,3095.0,0,4,3,252000,2401,36,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
7,7,2.5,7,5,2628,106.0,474.0,4,2390.0,0,6,4,175500,49,35,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
70,59,1.5,5,6,6406,0.0,400.0,3,2248.0,182,7,3,150000,4130,30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
47,29,1.0,5,5,12342,0.0,286.0,3,2400.0,0,6,3,139900,1363,25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
78,16,2.0,5,7,6240,0.0,360.0,3,2651.0,0,8,3,162900,1248,35,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
48,48,1.5,6,6,10000,261.0,440.0,3,2232.0,385,5,3,160000,2304,36,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
62,59,1.0,2,2,9000,0.0,0.0,2,660.0,0,5,3,63900,3658,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
31,11,2.0,6,5,11088,144.0,479.0,3,2847.0,0,7,3,184000,341,30,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
47,47,1.5,5,4,17755,132.0,528.0,2,2932.0,100,6,3,149900,2209,20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,8,3.0,9,5,4765,260.0,495.0,5,3252.0,0,5,4,300000,64,45,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
48,48,3.0,5,3,10532,275.0,626.0,3,2709.0,0,7,3,145000,2304,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
12,12,3.5,6,5,15426,0.0,470.0,4,2692.0,0,7,3,231500,144,30,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
68,39,2.0,5,6,13907,0.0,0.0,3,1992.0,0,6,3,108000,2652,30,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
53,53,1.5,5,5,8750,0.0,304.0,3,2404.0,0,6,3,120000,2809,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
46,46,2.0,5,5,9945,57.0,572.0,3,1976.0,0,5,3,128500,2116,25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
83,60,1.0,5,6,8960,0.0,360.0,3,2036.0,0,5,3,115000,4980,30,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
62,59,1.5,5,7,3500,0.0,240.0,3,2004.0,0,5,3,110000,3658,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
31,31,3.0,9,3,24572,1050.0,864.0,4,3938.0,0,9,4,150000,961,27,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2,2,2.5,8,5,9056,0.0,403.0,4,2121.0,0,6,4,178000,4,40,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
74,16,1.5,7,7,12320,0.0,579.0,4,2246.0,104,8,3,199500,1184,49,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
9,8,3.5,6,5,8238,0.0,400.0,3,2338.0,0,6,3,183500,72,30,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
41,41,1.5,5,5,6000,0.0,288.0,3,2280.0,100,7,2,126000,1681,25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
31,31,2.0,7,6,2529,0.0,440.0,3,2110.0,0,4,3,148500,961,42,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
70,3,2.5,5,7,10800,0.0,720.0,4,2028.0,0,7,3,149000,210,35,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
32,32,2.5,6,5,2349,0.0,440.0,3,2311.0,0,6,3,137900,1024,30,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
15,15,3.5,8,5,10846,0.0,473.0,4,3438.0,0,6,4,324000,225,40,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
83,58,2.0,5,6,5604,0.0,0.0,3,1728.0,0,5,3,98000,4814,30,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
35,35,2.0,6,5,1680,359.0,264.0,3,1470.0,0,5,3,103400,1225,30,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
135,14,1.0,5,8,6342,0.0,0.0,3,1800.0,0,6,3,94000,1890,40,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1,1,2.0,8,5,4590,108.0,627.0,4,3108.0,0,6,4,209500,1,40,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
0,0,3.5,10,5,18062,662.0,758.0,5,4918.0,0,10,5,545224,0,50,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
98,1,1.5,6,8,12900,0.0,0.0,4,2340.0,168,7,4,159900,98,48,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
59,59,1.0,4,5,19138,0.0,400.0,3,1728.0,0,4,3,141000,3481,20,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
6,6,2.5,6,5,8658,0.0,431.0,3,2871.0,0,9,3,215000,36,30,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
48,0,2.5,5,8,6897,0.0,260.0,3,2080.0,0,6,3,127000,0,40,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
56,12,2.0,5,7,9525,0.0,366.0,3,2344.0,0,5,3,128000,672,35,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
0,0,2.5,8,5,12853,0.0,852.0,4,3060.0,0,6,4,267916,0,40,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
76,57,1.0,6,6,6240,0.0,560.0,3,2251.0,120,6,3,127500,4332,36,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
6,6,3.0,7,5,7301,500.0,672.0,4,1922.0,0,7,4,198500,36,35,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
27,27,2.0,6,6,12090,210.0,576.0,4,2844.0,0,7,3,175500,729,36,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
7,7,3.5,7,5,8826,144.0,486.0,4,2827.0,0,7,4,217500,49,35,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
95,60,1.5,4,5,8094,0.0,572.0,3,2850.0,0,9,3,149500,5700,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
43,5,1.5,5,7,10710,165.0,656.0,3,1984.0,0,5,4,148800,215,35,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,3.5,9,5,16056,208.0,716.0,5,4860.0,0,11,4,556581,0,45,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
52,52,2.5,6,3,8400,0.0,442.0,3,2956.0,216,6,3,156500,2704,18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11,10,3.5,7,5,11250,0.0,610.0,4,2925.0,0,8,4,237000,110,35,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
49,22,1.5,5,7,7535,0.0,297.0,3,1824.0,0,5,3,120000,1078,35,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
